start_run, end_run, iccdBGRun, is_np_CoO, is_plain_CoO, burst_mode, shear, splitting, sam_spec_ROI_top, sam_spec_ROI_bot, sam_spec_ROI_left, sam_spec_ROI_right, no_sam_spec_ROI_top, no_sam_spec_ROI_bot, no_sam_spec_ROI_left, no_sam_spec_ROI_right, pnCCD_ROI1, pnCCD_ROI2, spot_size_x, spot_size_y, L3_pixel_max, ev_per_pixel, shot_after_blown, split_poly_deg, corr_split_end
17, 17, 18, 0, 1, 0, 0.306, 3.888, 542, 564, 200, 1000, 518, 531, 200, 1000, 0, 0, 20, 20, 537, 0.07, 0, 1, 0
20, 25, 21, 0, 1, 0, 0.306, 3.888, 549, 576, 200, 1000, 517, 542, 200, 1000, 0, 0, 20, 20, 537, 0.0769, 0, 1, 0
36, 36, 37, 0, 1, 0, 0.306, 3.888, 549, 576, 200, 1000, 517, 542, 200, 1000, 0, 0, 20, 20, 537, 0.0769, 0, 1, 0
86, 96, 78, 0, 0, 0, 0.306, 3.888, 530, 560, 200, 1000, 480, 495, 200, 1000, 0, 0, 16.1, 12.9, 536.59, 0.0813, 0, 1, 0
99, 120, 98, 0, 0, 1, 0.306, 3.673, 530, 560, 200, 1000, 480, 495, 200, 1000, 0, 0, 16.1, 12.9, 536.59, 0.0813, 0, 1, 0
122, 132, 121, 0, 0, 0, 0.306, 4.135, 530, 560, 200, 1000, 480, 495, 200, 1000, 0, 0, 16.1, 12.9, 536.59, 0.0813, 0, 1, 0
136, 156, 98, 0, 0, 1, 0.306, 3.673, 530, 560, 200, 1000, 480, 495, 200, 1000, 0, 0, 16.1, 12.9, 537.13, 0.0769, 0, 1, 0
166, 174, 175, 1, 0, 0, 0.28, 1.367, 490, 515, 200, 1000, 530, 550, 200, 1000, 0, 0, 16.68, 14.3, 526.4467, 0.075555, 0, 1, 0
177, 197, 176, 1, 0, 1, 0.28, 1.367, 490, 515, 200, 1000, 530, 550, 200, 1000, 0, 0, 16.68, 14.3, 526.4467, 0.075555, 0, 0, 0
198, 198, 176, 0, 1, 1, 0.28, 1.367, 490, 515, 200, 1000, 530, 550, 200, 1000, 0, 0, 16.68, 14.3, 524.5, 0.0756, 0, 1, 0
211, 287, 201, 0, 1, 1, 0.28, 1.804472, 490, 515, 200, 1000, 530, 560, 200, 1000, 0, 0, 16.68, 14.3, 529.5, 0.0688, 0, 1, 0
290, 324, 289, 0, 0, 0, 0.306, 4.1925, 530, 560, 200, 1000, 480, 495, 200, 1000, 0, 0, 16.1, 12.9, 540.05, 0.073, 0, 1, 0
331, 356, 326, 0, 0, 1, 0.306, 3.2451, 530, 560, 200, 1000, 480, 495, 200, 1000, 0, 0, 16.1, 12.9, 541.355, 0.0675, 0, 1, 0
359, 385, 357, 0, 0, 0, 0.306, 4.2194, 530, 560, 200, 1000, 480, 495, 200, 1000, 0, 0, 16.1, 12.9, 541.355, 0.0675, 0, 1, 0
388, 414, 387, 0, 0, 1, 0.306, 1, 530, 560, 200, 1000, 480, 495, 200, 1000, 0, 0, 16.1, 12.9, 541.355, 0.0675, 0, 1, 0
416, 436, 387, 0, 0, 1, 0.306, 3.8, 530, 560, 200, 1000, 480, 495, 200, 1000, 0, 0, 16.1, 12.9, 541.355, 0.0675, 0, 1, 0
438, 442, 415, 0, 0, 0, 0.306, 1, 530, 560, 200, 1000, 480, 495, 200, 1000, 0, 0, 16.1, 12.9, 541.355, 0.0675, 0, 1, 0
454, 472, 464, 1, 0, 1, 0.28, 1.404, 490, 518, 200, 1000, 530, 550, 200, 1000, 0, 0, 16.68, 14.3, 528.4955, 0.08274, 0, 1, 0
477, 477, 475, 1, 0, 1, 0.28, 1, 497, 522, 200, 1000, 529, 550, 200, 1000, 0, 0, 26.06, 95.15, 528.4955, 0.08274, 0, 1, 0
481, 499, 480, 1, 0, 1, 0.28, 1, 497, 522, 200, 1000, 529, 550, 200, 1000, 0, 0, 26.06, 95.15, 528.4955, 0.08274, 3, 1, 0
503, 504, 502, 1, 0, 0, 0.28, 1.589, 497, 522, 200, 1000, 529, 550, 200, 1000, 0, 0, 26.06, 95.15, 528.4955, 0.08274, 0, 1, 0
510, 536, 508, 0, 0, 1, 0.306, 1, 527, 563, 200, 1000, 486, 498, 200, 1000, 0, 0, 20.63, 155.9, 539, 0.08274, 0, 1, 0
548, 551, 547, 0, 0, 0, 0.306, 5.08367, 530, 565, 200, 1000, 485, 500, 200, 1000, 0, 0, 20.63, 155.9, 535.77, 0.0843, 0, 1, 0
554, 581, 553, 0, 0, 1, 0.306, 4.3, 538, 562, 200, 1000, 488, 498, 200, 1000, 0, 0, 20.63, 155.9, 535.77, 0.0843, 4, 1, 0
583, 595, 553, 0, 0, 1, 0.306, 5.08367, 538, 562, 200, 1000, 488, 498, 200, 1000, 0, 0, 20.63, 155.9, 535.77, 0.0843, 3, 1, 0
596, 601, 553, 0, 0, 1, 0.306, 5.08367, 538, 562, 200, 1000, 488, 498, 200, 1000, 0, 0, 20.63, 155.9, 535.77, 0.0843, 3, 1, 0
603, 638, 646, 0, 0, 1, 0.306, 4.32923, 530, 560, 200, 1000, 480, 495, 200, 1000, 0, 0, 16.1, 12.9, 533.75, 0.0797, 2, 1, 1
641, 643, 640, 0, 0, 0, 0.306, 4.706, 530, 560, 200, 1000, 480, 495, 200, 1000, 0, 0, 16.1, 12.9, 533.75, 0.0797, 0, 1, 0
647, 671, 646, 0, 0, 1, 0.306, 4.32923, 530, 560, 200, 1000, 480, 495, 200, 1000, 0, 0, 16.1, 12.9, 533.75, 0.0797, 2, 1, 0
